loss_pol_entpen,EpisodesSoFar,ev_tdlam_before,loss_vf_loss,loss_kl,loss_pol_surr,TimeElapsed,loss_ent,EpRewMean,EpThisIter,TimestepsSoFar,EpLenMean
0.0,6561,0.8617397099733353,0.008466868,0.0061680265,-0.02070379,4731.61611700058,0.70066816,-4.93,7,3743744,577.02
0.0,6569,0.8735034912824631,0.0082343565,0.006814742,-0.022256853,4733.995800256729,0.6819786,-4.95,8,3747840,575.41
0.0,6576,0.8090848326683044,0.009562111,0.007828761,-0.02132508,4926.173077106476,0.6996654,-4.95,7,3751936,577.34
0.0,6584,0.8444920480251312,0.008765756,0.005214961,-0.019977264,4928.21852016449,0.6243926,-4.96,8,3756032,572.1
0.0,6591,0.8582169562578201,0.008286289,0.0056569655,-0.022595467,4930.425807237625,0.66914755,-4.96,7,3760128,573.94
0.0,6598,0.8425006866455078,0.010261483,0.0067991083,-0.021481857,4932.532315254211,0.6904338,-4.94,7,3764224,574.95
0.0,6605,0.8601606488227844,0.007504361,0.005964243,-0.020322459,4934.6477591991425,0.65709746,-4.94,7,3768320,574.23
0.0,6612,0.8891139551997185,0.007114189,0.0075814263,-0.02474375,4936.733320951462,0.6778592,-4.95,7,3772416,576.58
0.0,6619,0.8078995048999786,0.010745411,0.0072757704,-0.023245346,4938.705251216888,0.6681381,-4.92,7,3776512,572.74
0.0,6626,0.8646256327629089,0.0083765,0.007887256,-0.021569047,4940.763696193695,0.707718,-4.93,7,3780608,572.63
0.0,6634,0.8330759257078171,0.008952366,0.00682856,-0.022402998,4942.8506491184235,0.65417707,-4.92,8,3784704,571.62
0.0,6640,0.8885363861918449,0.006859841,0.008646802,-0.023626342,4944.914274215698,0.706596,-4.92,6,3788800,571.74
0.0,6648,0.8537251353263855,0.008825076,0.007492913,-0.021413112,4946.869809150696,0.6620169,-4.92,8,3792896,567.33
0.0,6655,0.8880211934447289,0.0068569845,0.0062137595,-0.02234731,4948.806823015213,0.67589694,-4.92,7,3796992,568.52
0.0,6662,0.8751032650470734,0.0065853717,0.0057632746,-0.021677475,4950.829780101776,0.6738321,-4.92,7,3801088,569.11
0.0,6669,0.8730326145887375,0.0067293,0.0059241494,-0.022300944,4952.793400287628,0.6785717,-4.93,7,3805184,574.66
0.0,6675,0.816488727927208,0.008246394,0.0058373613,-0.02023179,4954.707992076874,0.6871848,-4.91,6,3809280,573.02
0.0,6683,0.88140419870615,0.0065885326,0.0077492255,-0.025010338,4956.646274089813,0.67007655,-4.91,8,3813376,578.93
0.0,6690,0.8534813225269318,0.007213822,0.0065591605,-0.021235315,4958.572056055069,0.6868919,-4.91,7,3817472,577.74
0.0,6697,0.8283798694610596,0.008193924,0.0074256514,-0.022959566,4960.609133243561,0.66550106,-4.9,7,3821568,580.4
0.0,6705,0.8510109186172485,0.008475201,0.0076165684,-0.022815,4962.60150718689,0.64795446,-4.91,8,3825664,576.15
0.0,6711,0.8486178517341614,0.007910585,0.0066142553,-0.021000907,4964.52183508873,0.6826793,-4.9,6,3829760,575.39
0.0,6719,0.8132835626602173,0.010189728,0.0069079185,-0.022355359,4966.464839935303,0.64968854,-4.91,8,3833856,576.44
0.0,6726,0.8591586500406265,0.007148053,0.007001944,-0.023563264,4968.393684148788,0.66122794,-4.91,7,3837952,576.02
0.0,6732,0.8421132564544678,0.010819286,0.0066053825,-0.024058677,4970.368742227554,0.70457417,-4.9,6,3842048,578.82
0.0,6739,0.8580136299133301,0.008820243,0.0076392326,-0.02342608,4972.436031103134,0.6657872,-4.89,7,3846144,580.23
0.0,6746,0.8302673548460007,0.0075160125,0.007461494,-0.023467835,4974.370385169983,0.68866324,-4.9,7,3850240,583.42
0.0,6752,0.8359015583992004,0.008614476,0.0062985993,-0.023382163,4976.3037321567535,0.7027215,-4.88,6,3854336,584.65
0.0,6760,0.825850248336792,0.008733626,0.0071331323,-0.021011902,4978.235623121262,0.6436176,-4.88,8,3858432,583.29
0.0,6767,0.831929475069046,0.008277748,0.007454658,-0.022184374,4980.183937072754,0.66583395,-4.86,7,3862528,581.52
0.0,6774,0.8240598887205124,0.009518234,0.0062294565,-0.02013218,4982.2105832099915,0.63912284,-4.84,7,3866624,582.55
0.0,6780,0.833844393491745,0.009709279,0.007815246,-0.0255632,4984.175784111023,0.66225094,-4.81,6,3870720,586.26
0.0,6787,0.8463477790355682,0.007833057,0.0077587496,-0.024331486,4986.1110689640045,0.66288435,-4.81,7,3874816,588.45
0.0,6794,0.8182705789804459,0.009367232,0.0062785964,-0.022875538,4988.134025096893,0.64537525,-4.8,7,3878912,586.71
0.0,6801,0.8919986262917519,0.007713843,0.0059990925,-0.023281708,4990.218191146851,0.66845804,-4.79,7,3883008,591.87
0.0,6807,0.8905391916632652,0.008705693,0.0071285255,-0.022717472,4992.499179124832,0.6731674,-4.78,6,3887104,595.51
0.0,6815,0.8559389561414719,0.0075395843,0.005508073,-0.022277338,4994.597980260849,0.6425855,-4.81,8,3891200,597.24
0.0,6822,0.8661855310201645,0.0072817,0.006943859,-0.02349055,4996.931073188782,0.67783976,-4.81,7,3895296,596.18
0.0,6830,0.8334992378950119,0.009017785,0.005594307,-0.022295676,4999.221429109573,0.6241683,-4.81,8,3899392,590.23
0.0,6837,0.8642266690731049,0.007963432,0.0074104764,-0.022553772,5001.740793228149,0.6597407,-4.82,7,3903488,587.53
0.0,6843,0.8875667899847031,0.008376612,0.007002764,-0.0229603,5004.08225107193,0.66063535,-4.81,6,3907584,591.33
