TimeElapsed,loss_vf_loss,loss_pol_entpen,loss_pol_surr,EpThisIter,TimestepsSoFar,ev_tdlam_before,loss_kl,EpLenMean,EpisodesSoFar,loss_ent,EpRewMean
1590.1051330566406,0.022591658,0.0,-0.019353874,6,532480,0.891912505030632,0.004320015,705.65,750,0.99707025,-1.27
1593.9159090518951,0.019031925,0.0,-0.01894653,6,536576,0.9028538390994072,0.00662324,696.08,756,0.99114066,-1.27
1597.643914937973,0.018267775,0.0,-0.017297221,6,540672,0.9069469273090363,0.0064664157,692.57,762,1.0050776,-1.38
1602.0118131637573,0.016580418,0.0,-0.019018186,5,544768,0.9166601672768593,0.0067487373,700.3,767,0.9914737,-1.36
1606.1643068790436,0.021625001,0.0,-0.019833926,5,548864,0.8978704884648323,0.0067608254,702.34,772,1.0103562,-1.46
1610.3642599582672,0.02019063,0.0,-0.016834807,6,552960,0.8964106291532516,0.0046866806,714.24,778,1.0394381,-1.39
1614.0347709655762,0.01715701,0.0,-0.019307308,6,557056,0.8914267122745514,0.0077917515,709.11,784,1.0258609,-1.42
1617.7265520095825,0.016062478,0.0,-0.018338686,5,561152,0.9068296402692795,0.00564703,713.97,789,1.0705699,-1.39
1621.6607921123505,0.02078413,0.0,-0.020792028,5,565248,0.8557687699794769,0.007452141,721.34,794,1.0798991,-1.24
1625.4042401313782,0.0234858,0.0,-0.018889489,7,569344,0.9175877347588539,0.0071057533,714.12,801,1.0845631,-1.13
1629.4677429199219,0.01981114,0.0,-0.018207764,6,573440,0.8901881724596024,0.004649066,707.55,807,1.0184932,-1.2
1633.5324668884277,0.019126879,0.0,-0.019318094,6,577536,0.9096670895814896,0.0073187416,706.46,813,0.9968925,-1.21
1637.4315540790558,0.022256818,0.0,-0.019038998,6,581632,0.8737288862466812,0.006189075,704.82,819,1.0891097,-1.25
1641.667545080185,0.021036826,0.0,-0.020122716,5,585728,0.9003939405083656,0.0053295465,710.06,824,1.05488,-1.23
1645.542874097824,0.018143829,0.0,-0.019630209,6,589824,0.8894544914364815,0.0066617033,707.37,830,1.0163134,-1.28
1649.5077888965607,0.01983333,0.0,-0.017095137,6,593920,0.9091817066073418,0.0053317402,710.59,836,1.032156,-1.37
1653.6968739032745,0.020130577,0.0,-0.018593986,6,598016,0.8753768652677536,0.006731558,707.67,842,1.0691718,-1.2
1657.6898310184479,0.018332904,0.0,-0.020406693,6,602112,0.8762035295367241,0.0045484817,714.02,848,0.943035,-1.28
1661.681354045868,0.014153495,0.0,-0.016522512,6,606208,0.9220384210348129,0.0056288834,709.35,854,0.93595684,-1.44
1665.5789868831635,0.015504785,0.0,-0.018434746,6,610304,0.9106854870915413,0.006873939,712.54,860,0.89570767,-1.47
1669.9666390419006,0.021947874,0.0,-0.017372737,6,614400,0.8931985571980476,0.00518961,709.47,866,0.9067049,-1.47
1674.501659154892,0.015491885,0.0,-0.019268842,5,618496,0.9114176109433174,0.0059785796,705.43,871,0.9312673,-1.49
1678.5097489356995,0.020444084,0.0,-0.01977861,6,622592,0.8865165263414383,0.0065842024,703.07,877,0.9718585,-1.51
1682.6788289546967,0.015702516,0.0,-0.018162614,6,626688,0.9165272563695908,0.0046412484,705.25,883,0.92314935,-1.37
1686.7100820541382,0.021836927,0.0,-0.019194689,5,630784,0.8985226601362228,0.006060226,706.34,888,0.99334794,-1.25
1691.134283065796,0.02022462,0.0,-0.020649966,5,634880,0.9089103937149048,0.0058561615,704.33,893,0.985071,-1.31
1695.5184710025787,0.0292299,0.0,-0.019179143,7,638976,0.885906271636486,0.004595734,703.57,900,0.94340146,-1.37
