EpLenMean,ev_tdlam_before,loss_ent,EpThisIter,EpisodesSoFar,EpRewMean,loss_pol_entpen,TimestepsSoFar,loss_kl,TimeElapsed,loss_pol_surr,loss_vf_loss
653.53,0.914181649684906,1.6192797,6,255,-0.3,0.0,172032,0.0064835297,179.2631070613861,-0.014876196,0.02274659
651.85,0.9210717901587486,1.5882224,7,262,-0.11,0.0,176128,0.006228943,183.57308888435364,-0.013955026,0.021845566
652.03,0.9259776547551155,1.6185304,6,268,-0.05,0.0,180224,0.00609039,187.8166320323944,-0.014978798,0.023534644
654.01,0.9096982553601265,1.6100662,6,274,-0.02,0.0,184320,0.0070258398,191.74006915092468,-0.014461842,0.030540489
655.3,0.9211646690964699,1.585072,6,280,-0.05,0.0,188416,0.008346336,195.91607809066772,-0.016310833,0.022083221
652.4,0.936373233795166,1.5587424,7,287,-0.14,0.0,192512,0.0068646395,199.74804496765137,-0.014557385,0.022509418
644.57,0.9311564713716507,1.55861,7,294,-0.24,0.0,196608,0.008486666,203.66156792640686,-0.015350994,0.020276356
648.78,0.9218113869428635,1.5313139,5,299,-0.19,0.0,200704,0.0073091146,207.78039813041687,-0.01421229,0.020026594
647.15,0.9386747516691685,1.4923897,7,306,-0.12,0.0,204800,0.0069141784,212.34655213356018,-0.01515783,0.019086767
643.0,0.9197196662425995,1.4897015,6,312,-0.15,0.0,208896,0.0057847523,216.43405103683472,-0.015616044,0.02187577
643.32,0.9341118559241295,1.4966905,7,319,-0.25,0.0,212992,0.005685693,220.94452023506165,-0.016068995,0.025247796
639.82,0.9343057200312614,1.4615979,7,326,-0.36,0.0,217088,0.008488489,225.38762521743774,-0.019253816,0.019343674
635.28,0.9425277300179005,1.4540795,7,333,-0.57,0.0,221184,0.0064393072,229.67927312850952,-0.013228701,0.017851831
629.87,0.9339752942323685,1.4186364,7,340,-0.61,0.0,225280,0.00716183,233.70481204986572,-0.014575176,0.021670718
629.31,0.9361921697854996,1.3826171,7,347,-0.43,0.0,229376,0.006138859,237.95465207099915,-0.013585098,0.020667452
624.91,0.9320206195116043,1.3935324,7,354,-0.64,0.0,233472,0.0046642367,242.06549286842346,-0.011457026,0.021033809
628.98,0.9290428161621094,1.3540566,6,360,-0.72,0.0,237568,0.0063977987,246.19806003570557,-0.015049795,0.022614291
627.49,0.9321791008114815,1.3617418,7,367,-0.72,0.0,241664,0.005398697,250.1948800086975,-0.01232943,0.025581885
616.99,0.9343480318784714,1.3572272,7,374,-0.57,0.0,245760,0.005413882,254.07955503463745,-0.013013764,0.02422506
615.52,0.9317823275923729,1.3395216,6,380,-0.55,0.0,249856,0.006132805,258.28843688964844,-0.014501233,0.02385747
613.46,0.9305777847766876,1.2991179,7,387,-0.43,0.0,253952,0.006130434,737.3179540634155,-0.017028939,0.026242426
612.82,0.9309335052967072,1.3482562,7,394,-0.31,0.0,258048,0.0061241817,741.4355120658875,-0.014818103,0.023504676
606.18,0.9283718019723892,1.3442339,7,401,-0.23,0.0,262144,0.00699499,745.3328611850739,-0.014548366,0.0208317
604.86,0.9232043921947479,1.3300775,6,407,-0.19,0.0,266240,0.006948482,749.3238620758057,-0.019100636,0.024165152
607.27,0.9234928265213966,1.3220806,6,413,-0.03,0.0,270336,0.005638039,753.4398860931396,-0.015106744,0.027702529
610.96,0.9351463541388512,1.3378356,7,420,-0.08,0.0,274432,0.004263534,757.2573852539062,-0.014511637,0.023257768
611.12,0.9364581406116486,1.3379554,7,427,0.05,0.0,278528,0.0070435666,761.3718130588531,-0.016964035,0.02166005
612.08,0.9360020980238914,1.3374835,6,433,0.06,0.0,282624,0.0058800853,765.2546122074127,-0.014927635,0.021893859
616.79,0.9294529482722282,1.35369,7,440,0.06,0.0,286720,0.005299388,769.0537800788879,-0.015836358,0.022300087
614.92,0.933011069893837,1.2974192,7,447,0.08,0.0,290816,0.0053391685,772.9729111194611,-0.013738175,0.02042654
618.38,0.9278000816702843,1.3493854,6,453,0.21,0.0,294912,0.007033369,776.7035629749298,-0.016968498,0.0211024
621.73,0.9225479662418365,1.3286365,6,459,0.15,0.0,299008,0.0061092493,780.6041970252991,-0.018958535,0.021923438
626.83,0.9331105872988701,1.3129646,6,465,0.09,0.0,303104,0.005452276,784.4280021190643,-0.015510013,0.023236122
625.12,0.9391338750720024,1.3261219,6,471,-0.08,0.0,307200,0.005533038,788.09725522995,-0.015227,0.020546611
628.6,0.943596214056015,1.3100035,7,478,0.03,0.0,311296,0.0051564076,792.1618092060089,-0.016505238,0.019179171
632.01,0.9265979826450348,1.2878948,6,484,-0.14,0.0,315392,0.0063249376,795.9326450824738,-0.015726404,0.023896337
633.91,0.9083767533302307,1.3046755,6,490,-0.11,0.0,319488,0.008644478,799.7044808864594,-0.016832743,0.017120952
638.09,0.9288183301687241,1.2957361,7,497,0.06,0.0,323584,0.0059254672,803.6173191070557,-0.017119966,0.022734266
638.56,0.911511242389679,1.2916979,7,504,-0.06,0.0,327680,0.0057052453,807.362377166748,-0.014560264,0.022342922
634.63,0.9264274165034294,1.3047079,7,511,-0.19,0.0,331776,0.007527272,811.2977781295776,-0.015218186,0.01844348
633.22,0.9327020645141602,1.3066918,6,517,-0.12,0.0,335872,0.00523669,815.1699240207672,-0.014465169,0.020644149
