EpRewMean,EpThisIter,EpLenMean,loss_pol_entpen,loss_kl,ev_tdlam_before,EpisodesSoFar,TimeElapsed,loss_ent,loss_pol_surr,loss_vf_loss,TimestepsSoFar
0.38,7,616.6,0.0,0.005853275,0.848313182592392,292,156.2923288345337,1.6073905,-0.021610685,0.03354965,176128
0.43,7,617.83,0.0,0.0062006745,0.8677492886781693,299,159.98779702186584,1.6660111,-0.020986943,0.032298747,180224
0.3,7,618.67,0.0,0.007730705,0.8667296767234802,306,163.6514449119568,1.6728833,-0.020983703,0.033196718,184320
0.34,7,621.36,0.0,0.007734358,0.8852488771080971,313,167.4716489315033,1.6765954,-0.02083687,0.02808893,188416
0.25,7,620.85,0.0,0.008726439,0.887351505458355,320,171.21683979034424,1.6459187,-0.021063,0.031114385,192512
0.27,5,623.84,0.0,0.006455659,0.8662837892770767,325,175.0863287448883,1.6489555,-0.020950718,0.03714294,196608
0.31,7,625.86,0.0,0.008157643,0.8471549451351166,332,221.08895587921143,1.6551933,-0.0214128,0.036057808,200704
0.39,5,623.71,0.0,0.0076364395,0.8576582372188568,337,224.6805329322815,1.6761173,-0.020361885,0.030849542,204800
0.41,7,626.51,0.0,0.008031461,0.8792632594704628,344,228.35450172424316,1.696311,-0.022253554,0.02672623,208896
0.51,6,628.03,0.0,0.008332787,0.869051143527031,350,231.94061064720154,1.6525749,-0.025208367,0.02877028,212992
0.59,7,627.3,0.0,0.009457185,0.886987179517746,357,235.52068090438843,1.6358892,-0.023663403,0.025849845,217088
0.61,6,628.37,0.0,0.0075987647,0.8474696576595306,363,239.0410349369049,1.6323439,-0.023931868,0.03609888,221184
0.46,7,625.03,0.0,0.008032047,0.8630834668874741,370,242.63204789161682,1.6378726,-0.025316678,0.038687844,225280
0.4,7,621.53,0.0,0.00699737,0.8906261995434761,377,246.25192880630493,1.641536,-0.022637809,0.028180344,229376
0.25,6,627.34,0.0,0.008550521,0.8566111773252487,383,250.08064365386963,1.6333476,-0.024449337,0.033178102,233472
0.3,7,623.63,0.0,0.0074940436,0.8770331740379333,390,253.6049349308014,1.5970155,-0.02172928,0.035603706,237568
0.33,7,628.08,0.0,0.008153821,0.8710111081600189,397,257.1702699661255,1.6050979,-0.024212703,0.033856917,241664
0.45,6,625.84,0.0,0.0077861925,0.866034209728241,403,260.7012848854065,1.596016,-0.020987691,0.036512293,245760
0.58,6,633.24,0.0,0.008002142,0.8426701873540878,409,264.5006318092346,1.5872483,-0.024109915,0.041434437,249856
0.51,6,635.81,0.0,0.008414167,0.8410282880067825,415,268.2189257144928,1.5757113,-0.022689655,0.03366287,253952
0.48,7,637.22,0.0,0.00874996,0.8677666783332825,422,271.7094190120697,1.5756264,-0.024664056,0.031060686,258048
0.42,6,637.03,0.0,0.008503677,0.8763066828250885,428,275.217866897583,1.5712867,-0.022688108,0.028714674,262144
0.36,7,630.09,0.0,0.007873879,0.8810887187719345,435,279.0147409439087,1.5626715,-0.021659104,0.02934384,266240
0.44,7,624.72,0.0,0.008064105,0.8844830542802811,442,282.88115191459656,1.5512123,-0.023912141,0.03544252,270336
0.49,6,625.38,0.0,0.007848563,0.8335257917642593,448,286.4372968673706,1.5625225,-0.02249873,0.029485194,274432
0.45,6,628.69,0.0,0.0073364866,0.8674164861440659,454,290.00237369537354,1.5339248,-0.021920554,0.029218024,278528
0.4,7,627.1,0.0,0.009217292,0.8477263301610947,461,293.3575088977814,1.5345869,-0.024306273,0.031180516,282624
0.49,6,626.3,0.0,0.00974696,0.8951458111405373,467,296.6592676639557,1.5250095,-0.024351967,0.021599863,286720
0.65,8,626.9,0.0,0.008111771,0.8824984058737755,475,300.1975679397583,1.5156156,-0.022720909,0.026703684,290816
0.64,6,628.54,0.0,0.008686076,0.8611709475517273,481,303.5123200416565,1.5581739,-0.025863782,0.029999005,294912
0.65,6,635.27,0.0,0.009027566,0.8778353556990623,487,306.8440308570862,1.5162046,-0.022487344,0.028074719,299008
0.66,5,643.58,0.0,0.00701079,0.8065139204263687,492,351.6849727630615,1.5189182,-0.022764713,0.04338321,303104
0.58,6,648.1,0.0,0.0084115295,0.8391423970460892,498,355.1829137802124,1.5218925,-0.023479395,0.034497496,307200
0.45,6,652.62,0.0,0.008325641,0.8254497945308685,504,358.6222257614136,1.49615,-0.025108198,0.037802476,311296
0.44,5,659.32,0.0,0.008607755,0.7991016954183578,509,362.1063868999481,1.4954045,-0.021846987,0.044473466,315392
0.46,6,656.32,0.0,0.006797832,0.852098822593689,515,365.51407170295715,1.4923863,-0.023218775,0.035665873,319488
0.38,7,658.38,0.0,0.0069939583,0.7961100786924362,522,369.04728603363037,1.4404188,-0.022739768,0.047548257,323584
0.33,6,655.66,0.0,0.0076325303,0.8052796870470047,528,372.5671818256378,1.4497268,-0.023053842,0.040203016,327680
0.29,7,657.95,0.0,0.009627646,0.7980940490961075,535,376.113422870636,1.4547205,-0.0241772,0.031901974,331776
0.23,7,654.42,0.0,0.0084238555,0.7838114947080612,542,379.6474859714508,1.4427152,-0.025636086,0.044853114,335872
0.14,6,658.79,0.0,0.0066265254,0.8425534963607788,548,383.23295068740845,1.461613,-0.024498936,0.026189376,339968
0.26,7,650.8,0.0,0.007541924,0.8334658145904541,555,386.6360237598419,1.4187351,-0.020743601,0.029449971,344064
0.3,6,658.54,0.0,0.006271111,0.8531089872121811,561,390.10834097862244,1.4069041,-0.0240535,0.028579127,348160
0.16,6,659.27,0.0,0.008381535,0.8469757735729218,567,393.67143082618713,1.4351274,-0.024317823,0.03518361,352256
0.05,5,667.69,0.0,0.008211243,0.8230254948139191,572,397.31638765335083,1.432807,-0.023512876,0.03609248,356352
0.14,7,662.68,0.0,0.007819759,0.7932759821414948,579,400.82893085479736,1.4311156,-0.02320791,0.0359165,360448
0.24,6,663.52,0.0,0.0072437986,0.8225002586841583,585,404.43845081329346,1.4180228,-0.02276484,0.03394305,364544
0.06,7,657.99,0.0,0.00924333,0.8206139653921127,592,407.77321767807007,1.4245691,-0.023740351,0.03590571,368640
0.07,5,658.71,0.0,0.009585541,0.7976299971342087,597,411.2614197731018,1.4393054,-0.024169572,0.03783016,372736
0.07,6,659.45,0.0,0.006966625,0.853247880935669,603,414.64342284202576,1.429943,-0.022770403,0.025464352,376832
0.01,7,649.42,0.0,0.008827697,0.8608269840478897,610,418.1518828868866,1.4321687,-0.025110764,0.029003737,380928
0.12,6,649.99,0.0,0.00818093,0.8237920999526978,616,421.6136648654938,1.4266082,-0.02571774,0.035171524,385024
0.09,6,653.67,0.0,0.008267663,0.8004306703805923,622,424.98895263671875,1.4390908,-0.025315331,0.03511884,389120
0.3,6,652.74,0.0,0.008020872,0.8389596939086914,628,428.4614737033844,1.4188949,-0.027340723,0.02284916,393216
0.39,6,662.55,0.0,0.007548312,0.8196981251239777,634,431.8660798072815,1.4322711,-0.026075393,0.037126984,397312
0.51,7,659.96,0.0,0.010299519,0.8326195031404495,641,479.0273699760437,1.424638,-0.02541208,0.032422405,401408
0.48,6,657.56,0.0,0.006880686,0.8214049339294434,647,482.92326974868774,1.4069364,-0.02539257,0.03716231,405504
0.53,5,664.02,0.0,0.0061925882,0.819698691368103,652,486.8687517642975,1.4315113,-0.02220026,0.03230565,409600
0.47,6,675.67,0.0,0.008602801,0.8181171864271164,658,490.5446207523346,1.3981621,-0.02468459,0.03150737,413696
0.52,6,672.88,0.0,0.009190901,0.826973631978035,664,494.034072637558,1.3570577,-0.026120719,0.03111482,417792
0.52,7,666.15,0.0,0.010113365,0.816346600651741,671,497.7286448478699,1.3894444,-0.027030028,0.037371118,421888
0.4,5,675.16,0.0,0.009751747,0.8245835602283478,676,501.5194308757782,1.3872956,-0.02500127,0.02960489,425984
0.27,7,676.39,0.0,0.007281232,0.8419432044029236,683,505.293803691864,1.3637794,-0.023967415,0.026508361,430080
0.31,5,674.73,0.0,0.008210947,0.8611969202756882,688,508.88599276542664,1.3747349,-0.02413735,0.027342515,434176
0.21,7,676.02,0.0,0.009647844,0.8488129079341888,695,512.3616797924042,1.3504295,-0.02574161,0.026682217,438272
0.31,5,674.99,0.0,0.008419571,0.8284061849117279,700,515.7274596691132,1.3908993,-0.024060035,0.029715573,442368
0.44,6,677.61,0.0,0.009737846,0.830897182226181,706,519.5203216075897,1.4048027,-0.024382353,0.030083569,446464
0.32,7,675.33,0.0,0.009212317,0.7898305207490921,713,523.4562029838562,1.3727131,-0.025524465,0.033554755,450560
0.37,6,673.31,0.0,0.010015325,0.8473344594240189,719,527.2764668464661,1.3939542,-0.027435288,0.029019967,454656
0.26,6,675.01,0.0,0.008344526,0.8107426911592484,725,530.9967157840729,1.4214451,-0.025200523,0.034900334,458752
0.07,6,678.58,0.0,0.008009301,0.8341723829507828,731,534.7962157726288,1.4121054,-0.025811668,0.03151789,462848
