EpisodesSoFar,EpRewMean,loss_vf_loss,TimeElapsed,loss_kl,loss_pol_surr,EpThisIter,loss_pol_entpen,loss_ent,ev_tdlam_before,TimestepsSoFar,EpLenMean
1656,-0.34,0.003887357,25139.212389230728,0.010071796,-0.017735127,2,0.0,0.7592935,0.578351229429245,3551232,3036.96
1657,-0.32,0.00038084053,25143.14430832863,0.006907602,-0.011097704,1,0.0,0.8112903,0.4873310327529907,3555328,3010.0
1658,-0.33,0.001292669,25147.164588212967,0.007344176,-0.014576999,1,0.0,0.7580723,0.6518944799900055,3559424,3010.0
1660,-0.37,0.003095098,25151.195459127426,0.0076202853,-0.016825449,2,0.0,0.7747615,0.6838615238666534,3563520,3010.0
1661,-0.36,0.002152909,25155.028410196304,0.009183487,-0.014545436,1,0.0,0.8397763,0.19886553287506104,3567616,3010.0
1662,-0.34,0.00011229714,25159.15922832489,0.007954619,-0.014755098,1,0.0,0.8095703,-0.9163210391998291,3571712,3010.0
1664,-0.32,0.0012941945,25162.94005727768,0.0072161,-0.009260579,2,0.0,0.7626681,0.4697302579879761,3575808,3010.0
1665,-0.35,0.0029406887,25166.902907133102,0.0049978085,-0.012184751,1,0.0,0.7477275,0.5371157228946686,3579904,3010.0
1667,-0.36,0.0026333665,25170.973654031754,0.008390359,-0.014477359,2,0.0,0.780278,0.48298388719558716,3584000,3010.0
1668,-0.35,0.00010740669,25174.816437244415,0.006941565,-0.020391513,1,0.0,0.75634396,-1.0644166469573975,3588096,3010.0
1669,-0.37,0.0013063704,25178.936039209366,0.0062081222,-0.01478406,1,0.0,0.7973714,0.3447745442390442,3592192,3010.0
1671,-0.37,0.00068965217,25182.85023832321,0.006000612,-0.012602726,2,0.0,0.7872744,0.5702043771743774,3596288,3010.0
1672,-0.33,0.0007303108,25186.65027832985,0.0057635712,-0.008277396,1,0.0,0.7954179,-1.2027101516723633,3600384,3010.0
1673,-0.32,0.00014170323,25190.937012434006,0.008752977,-0.012663505,1,0.0,0.79383177,-1.3099298477172852,3604480,3010.0
1675,-0.34,0.0013078543,25194.730226278305,0.009175639,-0.01661711,2,0.0,0.7403291,0.4750964641571045,3608576,3010.0
1676,-0.33,0.00033650597,25198.730620384216,0.006283346,-0.0074118357,1,0.0,0.79703987,0.24685311317443848,3612672,3010.0
1677,-0.32,0.0015007902,25202.67434811592,0.014198774,-0.014258502,1,0.0,0.83512473,0.6223079562187195,3616768,3010.0
1679,-0.29,5.0163617e-05,25206.481451034546,0.008632255,-0.020876668,2,0.0,0.8575794,-1.1125285625457764,3620864,3010.0
