EpRewMean,loss_ent,loss_vf_loss,ev_tdlam_before,EpThisIter,TimeElapsed,loss_pol_entpen,TimestepsSoFar,loss_kl,EpisodesSoFar,loss_pol_surr,EpLenMean
-4.82,1.5761313,0.0051992573,0.7488942742347717,7,129.76360988616943,0.0,172032,0.009741081,300,-0.010619907,574.66
-4.84,1.5548382,0.0048497613,0.7658881992101669,7,132.84627604484558,0.0,176128,0.0076347534,307,-0.011771044,574.9
-4.85,1.5658416,0.0050503127,0.7672306895256042,8,135.93075799942017,0.0,180224,0.006450333,315,-0.00826626,572.64
-4.87,1.5841897,0.005124195,0.7859089821577072,7,139.48141193389893,0.0,184320,0.0055774245,322,-0.00750468,570.12
-4.88,1.579663,0.004977549,0.769779846072197,8,142.54476809501648,0.0,188416,0.008352063,330,-0.012065006,568.6
-4.84,1.5802827,0.004699983,0.7175121307373047,6,145.59926986694336,0.0,192512,0.008727118,336,-0.013487374,575.25
-4.85,1.6039367,0.004551611,0.7772367000579834,7,149.17638897895813,0.0,196608,0.009173092,343,-0.0124865975,575.49
-4.86,1.5806129,0.004561691,0.7521962970495224,6,152.2488820552826,0.0,200704,0.00780582,349,-0.012343252,581.7
-4.84,1.6061672,0.0053433557,0.7277943789958954,7,155.32272386550903,0.0,204800,0.007074254,356,-0.012123613,583.33
-4.86,1.6441667,0.0053488235,0.7574032098054886,7,158.74317812919617,0.0,208896,0.007638573,363,-0.011346997,580.29
-4.86,1.6383563,0.005202269,0.7615792602300644,8,161.8836808204651,0.0,212992,0.010531664,371,-0.011559328,573.88
-4.87,1.6600262,0.0049866303,0.7875760048627853,7,164.97316479682922,0.0,217088,0.008486286,378,-0.013835581,571.17
-4.87,1.5994577,0.0046739783,0.7866396903991699,7,168.2966070175171,0.0,221184,0.008325337,385,-0.011868924,574.24
-4.87,1.571138,0.004567262,0.7732099890708923,7,171.55843997001648,0.0,225280,0.009469035,392,-0.010858483,577.65
-4.89,1.5664277,0.0051762024,0.7821512073278427,8,174.619215965271,0.0,229376,0.007913784,400,-0.012187757,574.51
-4.88,1.5687764,0.00485941,0.7803061753511429,7,177.80030393600464,0.0,233472,0.0064765457,407,-0.010659626,571.64
-4.88,1.5684813,0.0052436753,0.7939943373203278,9,181.2880699634552,0.0,237568,0.008029611,416,-0.0107005965,568.08
-4.86,1.523597,0.0052744546,0.7575705945491791,7,184.4061200618744,0.0,241664,0.009541593,423,-0.012934424,568.68
-4.88,1.5445362,0.005090414,0.7841679006814957,9,187.51865792274475,0.0,245760,0.008006469,432,-0.013674409,563.18
-4.9,1.4911543,0.0051778886,0.7857882678508759,7,190.93458795547485,0.0,249856,0.006995776,439,-0.010984976,555.08
-4.9,1.4773066,0.004663854,0.7952286154031754,8,475.3173179626465,0.0,253952,0.007616886,447,-0.012842278,552.43
-4.93,1.4416445,0.0046160705,0.7981621772050858,7,479.105535030365,0.0,258048,0.010734269,454,-0.009916576,541.33
